term doc frequency weight
ir D6 2 0.1537
model D6 11 0.301
adopt D6 1 0.0768
deep D6 1 0.0434
learn D6 2 0.0724
research D6 2 0.0867
neural D6 3 0.2305
emerg D6 1 0.0768
recent D6 1 0.0547
year D6 1 0.0768
mani D6 1 0.0768
focu D6 1 0.0768
embed D6 2 0.0867
leverag D6 1 0.0547
query-docu D6 3 0.2305
relev D6 2 0.0724
allow D6 1 0.0547
comput D6 1 0.0362
semant D6 1 0.0434
similar D6 1 0.0547
document D6 2 0.0623
gener D6 2 0.1095
term D6 1 0.0768
howev D6 1 0.0768
exist D6 1 0.0434
often D6 1 0.0768
ignor D6 1 0.0768
interact D6 2 0.1095
aim D6 1 0.0768
address D6 1 0.0362
gap D6 1 0.0547
propos D6 3 0.0934
condit D6 1 0.0768
variat D6 1 0.0768
autoencod D6 1 0.0768
first D6 1 0.0547
map D6 1 0.0768
pair D6 1 0.0768
latent D6 2 0.1537
space D6 2 0.1095
base D6 1 0.0434
estim D6 1 0.0768
train D6 1 0.0547
feedback D6 2 0.1537
data D6 1 0.0547
pseudo-relev D6 1 0.0768
test D6 1 0.0434
time D6 1 0.0768
evalu D6 1 0.0434
three D6 1 0.0768
standard D6 1 0.0547
trec D6 1 0.0362
collect D6 1 0.0547
rank D6 2 0.0724
ap D6 1 0.0768
robust D6 1 0.0768
04 D6 1 0.0768
gov02 D6 1 0.0768
ms D6 1 0.0547
marco D6 1 0.0547
dataset D6 1 0.0311
passag D6 1 0.0768
result D6 1 0.0311
show D6 1 0.0547
outperform D6 1 0.0547
state-of-the-art D6 1 0.0547
also D6 1 0.0362
demonstr D6 1 0.0362
higher D6 1 0.0768
addit D6 1 0.0434
match D6 1 0.0547
baselin D6 1 0.0768
