term doc frequency weight
annotation. D3 1 0.169
17 D3 1 0.169
rec D3 1 0.1204
method D3 1 0.0954
doris-mae, D3 1 0.169
observ D3 1 0.169
not D3 1 0.1204
drop D3 1 0.169
comp D3 1 0.0796
tradit D3 1 0.1204
datasets. D3 1 0.1204
highlight D3 1 0.169
nee D3 1 0.169
bet D3 1 0.169
approach D3 1 0.0954
larg D4 1 0.0568
langu D4 1 0.0682
model D4 2 0.086
(llms) D4 1 0.0682
demonst D4 2 0.1137
impress D4 1 0.1207
effect D4 3 0.1468
zero-shot D4 6 0.5161
docu D4 2 0.0978
rank D4 4 0.2726
tasks. D4 1 0.086
pointwise, D4 1 0.1207
pairwise, D4 1 0.1207
listw D4 1 0.086
prompt D4 3 0.3622
approach D4 7 0.4771
propos D4 2 0.0978
llm-based D4 3 0.3622
ranking. D4 2 0.172
study D4 1 0.086
begin D4 1 0.1207
thorough D4 1 0.1207
evalu D4 2 0.1363
ex D4 1 0.0682
within D4 1 0.086
consist D4 1 0.086
expery D4 1 0.0682
framework, D4 1 0.1207
consid D4 2 0.2415
fact D4 1 0.1207
lik D4 1 0.086
size, D4 1 0.1207
tok D4 2 0.172
consumption, D4 1 0.1207
latency, D4 1 0.1207
among D4 1 0.1207
others. D4 1 0.1207
first-of-its-kind D4 1 0.1207
comp D4 1 0.0568
allow D4 1 0.086
us D4 2 0.0978
ident D4 1 0.1207
trade-offs D4 1 0.1207
efficy D4 3 0.258
inh D4 1 0.1207
approach. D4 2 0.2415
find D4 1 0.086
pointw D4 1 0.1207
scor D4 1 0.086
high D4 3 0.2045
efficiency, D4 1 0.1207
suff D4 1 0.1207
poor D4 1 0.1207
effectiveness. D4 2 0.2415
conversely, D4 1 0.1207
pairw D4 1 0.1207
supery D4 1 0.1207
int D4 1 0.1207
comput D4 2 0.1137
overhead. D4 1 0.1207
enh D4 1 0.1207
ranking, D4 1 0.1207
novel D4 1 0.086
setw D4 1 0.1207
reduc D4 2 0.1363
numb D4 1 0.1207
llm D4 1 0.0682
inf D4 1 0.1207
amount D4 1 0.1207
consum D4 1 0.1207
procedure, D4 1 0.1207
sign D4 1 0.0682
improv D4 1 0.0682
test D4 1 0.0682
method D4 1 0.0682
trec D4 1 0.0568
dl D4 1 0.1207
dataset D4 1 0.0682
beir D4 1 0.1207
benchmark. D4 1 0.1207
empir D4 1 0.1207
result D4 1 0.0489
ind D4 1 0.1207
cost D4 1 0.086
also D4 1 0.0568
retain D4 1 0.1207
dens D5 2 0.2408
embedding-based D5 1 0.1204
retriev D5 2 0.137
industry D5 2 0.338
standard D5 3 0.3612
sem D5 1 0.0954
search D5 2 0.2408
rank D5 1 0.0954
problems, D5 1 0.169
lik D5 1 0.1204
obtain D5 1 0.169
relev D5 1 0.0796
web D5 1 0.169
docu D5 4 0.2739
giv D5 2 0.338
query. D5 2 0.2408
techn D5 1 0.169
us D5 2 0.137
two-stage D5 1 0.169
process: D5 1 0.169
(a) D5 1 0.169
contrast D5 1 0.169
learn D5 5 0.3979
train D5 1 0.1204
dual D5 2 0.338
encod D5 2 0.2408
emb D5 1 0.169
query D5 2 0.1592
(b) D5 1 0.169
approxim D5 1 0.169
nearest D5 1 0.169
neighb D5 1 0.169
(anns) D5 1 0.169
find D5 1 0.1204
simil D5 1 0.1204
two D5 1 0.1204
stag D5 1 0.169
disjoint; D5 1 0.169
embed D5 4 0.3817
might D5 1 0.169
ill-suited D5 1 0.169
an D5 3 0.5071
method D5 1 0.0954
vice-versa, D5 1 0.169
lead D5 1 0.169
suboptim D5 1 0.169
performance. D5 2 0.338
work, D5 1 0.169
propos D5 1 0.0685
end-to-end D5 1 0.169
hierarch D5 1 0.169
index D5 2 0.2408
-- D5 2 0.338
eh D5 5 0.8451
joint D5 1 0.169
structure D5 2 0.2408
optim D5 1 0.169
model D5 1 0.0602
invert D5 1 0.169
fil D5 1 0.169
(ivf) D5 1 0.169
styl D5 1 0.169
tre D5 1 0.169
efficy D5 2 0.2408
anns. D5 1 0.169
ens D5 1 0.169
stabl D5 1 0.169
discret D5 1 0.169
tree-based D5 1 0.169
structure, D5 1 0.169
introduc D5 1 0.1204
not D5 1 0.1204
path D5 1 0.169
capt D5 1 0.169
posit D5 1 0.169
query/document D5 1 0.169
tree. D5 1 0.169
demonst D5 1 0.0796
effect D5 1 0.0685
sev D5 1 0.169
benchmarks, D5 1 0.169
includ D5 1 0.169
de-facto D5 1 0.169
ms D5 2 0.2408
marco D5 2 0.2408
(dev D5 1 0.169
set D5 2 0.338
trec D5 2 0.1592
dl19) D5 1 0.169
datasets. D5 1 0.1204
example, D5 1 0.169
comput D5 1 0.0796
budget, D5 1 0.169
outperform D5 1 0.1204
state-of-the-art D5 1 0.1204
(sota) D5 1 0.169
0.6% D5 1 0.169
(mrr@10) D5 1 0.169
dev D5 1 0.169
4.2% D5 1 0.169
(ndcg@10) D5 1 0.169
dl19 D5 1 0.169
benchmarks. D5 1 0.169
query D6 2 0.0884
expand D6 4 0.2676
(qe) D6 1 0.0939
common D6 1 0.0939
us D6 3 0.1141
improv D6 1 0.053
perform D6 1 0.0442
tradit D6 2 0.1338
inform D6 1 0.0669
retriev D6 1 0.038
(ir) D6 1 0.0939
models. D6 2 0.1878
adopt D6 1 0.0939
deep D6 1 0.053
learn D6 2 0.0884
ir D6 1 0.0939
research, D6 1 0.0669
neur D6 3 0.2817
qe D6 3 0.2817
model D6 9 0.301
emerg D6 1 0.0939
rec D6 1 0.0669
years. D6 1 0.0939
many D6 1 0.0939
foc D6 1 0.0939
embed D6 2 0.106
lev D6 1 0.0669
query-document D6 3 0.2817
relevance. D6 1 0.0939
allow D6 1 0.0669
comput D6 1 0.0442
sem D6 1 0.053
simil D6 1 0.0669
docu D6 2 0.0761
gen D6 2 0.1338
terms. D6 1 0.0939
however, D6 1 0.0939
ex D6 1 0.053
oft D6 1 0.0939
ign D6 1 0.0939
interactions. D6 1 0.0939
research D6 1 0.0669
aim D6 1 0.0939
address D6 1 0.0442
gap D6 1 0.0939
propos D6 3 0.1141
condit D6 1 0.0939
vary D6 1 0.0939
autoencoder. D6 1 0.0939
first D6 1 0.0669
map D6 1 0.0939
pair D6 1 0.0939
lat D6 2 0.1878
spac D6 1 0.0669
bas D6 1 0.053
interaction, D6 1 0.0939
estim D6 1 0.0939
space. D6 1 0.0669
train D6 1 0.0669
relev D6 1 0.0442
feedback D6 2 0.1878
dat D6 1 0.0669
pseudo-relevance D6 1 0.0939
test D6 1 0.053
time. D6 1 0.0939
evalu D6 1 0.053
three D6 1 0.0939
standard D6 1 0.0669
trec D6 1 0.0442
collect D6 1 0.0669
ranking: D6 1 0.0939
ap D6 1 0.0669
robust D6 1 0.0939
04 D6 1 0.0939
gov02, D6 1 0.0939
ms D6 1 0.0669
marco D6 1 0.0669
dataset D6 1 0.053
pass D6 1 0.0939
ranking. D6 1 0.0669
result D6 1 0.038
show D6 1 0.0669
outperform D6 1 0.0669
state-of-the-art D6 1 0.0669
also D6 1 0.0442
demonst D6 1 0.0442
high D6 1 0.053
addit D6 1 0.0669
match D6 1 0.0669
baselines. D6 1 0.0939
