term doc frequency weight
neur D6 3 0.2305
emerg D6 1 0.0768
rec D6 1 0.0547
year D6 1 0.0768
many D6 1 0.0768
foc D6 1 0.0768
embed D6 2 0.0867
lev D6 1 0.0547
query-document D6 3 0.2305
relev D6 2 0.0724
allow D6 1 0.0547
comput D6 1 0.0362
sem D6 1 0.0434
simil D6 1 0.0547
docu D6 2 0.0623
gen D6 2 0.1095
term D6 1 0.0768
howev D6 1 0.0768
ex D6 1 0.0434
oft D6 1 0.0768
ign D6 1 0.0768
interact D6 2 0.1095
aim D6 1 0.0768
address D6 1 0.0362
gap D6 1 0.0547
propos D6 3 0.0934
condit D6 1 0.0768
vary D6 1 0.0768
autoencod D6 1 0.0768
first D6 1 0.0547
map D6 1 0.0768
pair D6 1 0.0768
lat D6 2 0.1095
spac D6 2 0.1095
bas D6 1 0.0434
estim D6 1 0.0768
train D6 1 0.0547
feedback D6 2 0.1537
dat D6 1 0.0434
pseudo-relevance D6 1 0.0768
test D6 1 0.0434
tim D6 1 0.0768
evalu D6 1 0.0434
three D6 1 0.0768
standard D6 1 0.0547
trec D6 1 0.0362
collect D6 1 0.0547
rank D6 2 0.0724
ap D6 1 0.0547
robust D6 1 0.0768
04 D6 1 0.0768
gov02 D6 1 0.0768
ms D6 1 0.0547
marco D6 1 0.0547
dataset D6 1 0.0311
pass D6 1 0.0768
result D6 1 0.0311
show D6 1 0.0547
outperform D6 1 0.0547
state-of-the-art D6 1 0.0547
also D6 1 0.0362
demonst D6 1 0.0362
high D6 1 0.0434
addit D6 1 0.0434
match D6 1 0.0547
baselin D6 1 0.0768
