doc term frequency weight
D2 expery 1 0.0795
D2 conduc 1 0.1408
D2 two 1 0.1003
D2 well-known 1 0.1408
D2 datasets, 1 0.1408
D2 trec-cds-2014 1 0.1408
D2 ohsumed. 1 0.1408
D2 comp 1 0.0663
D2 analys 1 0.1408
D2 carry 1 0.1408
D2 out, 1 0.1408
D2 clear 1 0.1408
D2 demonst 1 0.0663
D2 propos 1 0.0571
D2 framework 1 0.1003
D2 competit 1 0.1408
D3 sci 4 0.6761
D3 research, 1 0.1204
D3 abl 1 0.1690
D3 effect 2 0.1370
D3 retriev 3 0.2055
D3 relev 3 0.2388
D3 docu 3 0.2055
D3 bas 1 0.0954
D3 complex, 2 0.3380
D3 multifacet 2 0.3380
D3 query 5 0.3979
D3 critical. 1 0.1690
D3 ex 1 0.0954
D3 evalu 2 0.1908
D3 dataset 5 0.4771
D3 task 1 0.1690
D3 limited, 1 0.1690
D3 prim 1 0.1690
D3 due 2 0.3380
D3 high 1 0.0954
D3 cost 1 0.1204
D3 effort 1 0.1690
D3 requir 2 0.3380
D3 annot 4 0.6761
D3 resourc 1 0.1690
D3 repres 1 0.1204
D3 complex 5 0.8451
D3 queries. 1 0.1204
D3 address 1 0.0796
D3 this, 1 0.1690
D3 propos 1 0.0685
D3 novel 1 0.1204
D3 task, 1 0.1690
D3 us 2 0.1370
D3 multi-level 1 0.1690
D3 aspect-based 1 0.1690
D3 (doris-mae), 1 0.1690
D3 design 1 0.1204
D3 handl 2 0.3380
D3 nat 1 0.1690
D3 research. 2 0.3380
D3 develop 1 0.1690
D3 benchmark 1 0.1690
D3 within 1 0.1204
D3 field 1 0.1690
D3 comput 1 0.0796
D3 science, 1 0.1690
D3 consist 1 0.1204
D3 100 2 0.3380
D3 human-authored 1 0.1690
D3 cases. 1 0.1690
D3 query, 1 0.1690
D3 assembl 1 0.1690
D3 collect 1 0.1204
D3 produc 1 0.1204
D3 scor 1 0.1204
D3 rank 1 0.0954
D3 them. 1 0.1690
D3 recogn 1 0.1690
D3 sign 1 0.0954
D3 lab 1 0.1690
D3 expert 1 0.1690
D3 annotation, 1 0.1690
D3 also 1 0.0796
D3 introduc 1 0.1204
D3 anno-gpt, 1 0.1690
D3 scal 1 0.1690
D3 framework 1 0.1204
D3 valid 1 0.1690
D3 perform 2 0.1592
D3 larg 1 0.0796
D3 langu 1 0.0954
D3 model 1 0.0602
D3 (llms) 1 0.0954
D3 expert-level 1 0.1690
D3 tasks. 1 0.1204
D3 llm 1 0.0954
D3 doris-mae 2 0.3380
D3 result 1 0.0685
D3 500x 1 0.1690
D3 reduc 1 0.0954
D3 cost, 1 0.1690
D3 without 2 0.3380
D3 comprom 1 0.1690
D3 quality. 1 0.1690
D3 furthermore, 1 0.1690
D3 multi-tiered 1 0.1690
D3 structure 1 0.1204
D3 queries, 1 0.1690
D3 extend 1 0.1690
D3 4,000 1 0.1690
D3 sub-query 1 0.1690
D3 test 1 0.0954
D3 cas 1 0.1690
D3 addit 1 0.1204
D3 annotation. 1 0.1690
D3 17 1 0.1690
D3 rec 1 0.1204
D3 method 1 0.0954
D3 doris-mae, 1 0.1690
D3 observ 1 0.1690
D3 not 1 0.1204
D3 drop 1 0.1690
D3 comp 1 0.0796
D3 tradit 1 0.1204
D3 datasets. 1 0.1204
D3 highlight 1 0.1690
D3 nee 1 0.1690
D3 bet 1 0.1690
D3 approach 1 0.0954
D4 larg 1 0.0568
D4 langu 1 0.0682
D4 model 2 0.0860
D4 (llms) 1 0.0682
D4 demonst 2 0.1137
D4 impress 1 0.1207
D4 effect 3 0.1468
D4 zero-shot 6 0.5161
D4 docu 2 0.0978
D4 rank 4 0.2726
D4 tasks. 1 0.0860
D4 pointwise, 1 0.1207
D4 pairwise, 1 0.1207
D4 listw 1 0.0860
D4 prompt 3 0.3622
D4 approach 7 0.4771
D4 propos 2 0.0978
D4 llm-based 3 0.3622
D4 ranking. 2 0.1720
D4 study 1 0.0860
D4 begin 1 0.1207
D4 thorough 1 0.1207
D4 evalu 2 0.1363
D4 ex 1 0.0682
D4 within 1 0.0860
D4 consist 1 0.0860
D4 expery 1 0.0682
D4 framework, 1 0.1207
D4 consid 2 0.2415
D4 fact 1 0.1207
D4 lik 1 0.0860
D4 size, 1 0.1207
D4 tok 2 0.1720
D4 consumption, 1 0.1207
D4 latency, 1 0.1207
D4 among 1 0.1207
D4 others. 1 0.1207
D4 first-of-its-kind 1 0.1207
D4 comp 1 0.0568
D4 allow 1 0.0860
D4 us 2 0.0978
D4 ident 1 0.1207
D4 trade-offs 1 0.1207
D4 efficy 3 0.2580
D4 inh 1 0.1207
D4 approach. 2 0.2415
D4 find 1 0.0860
D4 pointw 1 0.1207
D4 scor 1 0.0860
D4 high 3 0.2045
D4 efficiency, 1 0.1207
D4 suff 1 0.1207
D4 poor 1 0.1207
D4 effectiveness. 2 0.2415
D4 conversely, 1 0.1207
D4 pairw 1 0.1207
D4 supery 1 0.1207
D4 int 1 0.1207
D4 comput 2 0.1137
D4 overhead. 1 0.1207
D4 enh 1 0.1207
D4 ranking, 1 0.1207
D4 novel 1 0.0860
D4 setw 1 0.1207
D4 reduc 2 0.1363
D4 numb 1 0.1207
D4 llm 1 0.0682
D4 inf 1 0.1207
D4 amount 1 0.1207
D4 consum 1 0.1207
D4 procedure, 1 0.1207
D4 sign 1 0.0682
D4 improv 1 0.0682
D4 test 1 0.0682
D4 method 1 0.0682
D4 trec 1 0.0568
D4 dl 1 0.1207
D4 dataset 1 0.0682
D4 beir 1 0.1207
D4 benchmark. 1 0.1207
D4 empir 1 0.1207
D4 result 1 0.0489
D4 ind 1 0.1207
D4 cost 1 0.0860
D4 also 1 0.0568
D4 retain 1 0.1207
D5 dens 2 0.2408
D5 embedding-based 1 0.1204
D5 retriev 2 0.1370
D5 industry 2 0.3380
D5 standard 3 0.3612
D5 sem 1 0.0954
D5 search 2 0.2408
D5 rank 1 0.0954
D5 problems, 1 0.1690
D5 lik 1 0.1204
D5 obtain 1 0.1690
D5 relev 1 0.0796
D5 web 1 0.1690
D5 docu 4 0.2739
D5 giv 2 0.3380
D5 query. 2 0.2408
D5 techn 1 0.1690
D5 us 2 0.1370
D5 two-stage 1 0.1690
D5 process: 1 0.1690
D5 (a) 1 0.1690
D5 contrast 1 0.1690
D5 learn 5 0.3979
D5 train 1 0.1204
D5 dual 2 0.3380
D5 encod 2 0.2408
D5 emb 1 0.1690
D5 query 2 0.1592
D5 (b) 1 0.1690
D5 approxim 1 0.1690
D5 nearest 1 0.1690
D5 neighb 1 0.1690
D5 (anns) 1 0.1690
D5 find 1 0.1204
D5 simil 1 0.1204
D5 two 1 0.1204
D5 stag 1 0.1690
D5 disjoint; 1 0.1690
D5 embed 4 0.3817
D5 might 1 0.1690
D5 ill-suited 1 0.1690
D5 an 3 0.5071
D5 method 1 0.0954
D5 vice-versa, 1 0.1690
D5 lead 1 0.1690
D5 suboptim 1 0.1690
D5 performance. 2 0.3380
D5 work, 1 0.1690
D5 propos 1 0.0685
D5 end-to-end 1 0.1690
D5 hierarch 1 0.1690
D5 index 2 0.2408
D5 -- 2 0.3380
D5 eh 5 0.8451
D5 joint 1 0.1690
D5 structure 2 0.2408
D5 optim 1 0.1690
D5 model 1 0.0602
D5 invert 1 0.1690
D5 fil 1 0.1690
D5 (ivf) 1 0.1690
D5 styl 1 0.1690
D5 tre 1 0.1690
D5 efficy 2 0.2408
D5 anns. 1 0.1690
D5 ens 1 0.1690
D5 stabl 1 0.1690
D5 discret 1 0.1690
D5 tree-based 1 0.1690
D5 structure, 1 0.1690
D5 introduc 1 0.1204
D5 not 1 0.1204
D5 path 1 0.1690
D5 capt 1 0.1690
D5 posit 1 0.1690
D5 query/document 1 0.1690
D5 tree. 1 0.1690
D5 demonst 1 0.0796
D5 effect 1 0.0685
D5 sev 1 0.1690
D5 benchmarks, 1 0.1690
D5 includ 1 0.1690
D5 de-facto 1 0.1690
D5 ms 2 0.2408
D5 marco 2 0.2408
D5 (dev 1 0.1690
D5 set 2 0.3380
D5 trec 2 0.1592
D5 dl19) 1 0.1690
D5 datasets. 1 0.1204
D5 example, 1 0.1690
D5 comput 1 0.0796
D5 budget, 1 0.1690
D5 outperform 1 0.1204
D5 state-of-the-art 1 0.1204
D5 (sota) 1 0.1690
D5 0.6% 1 0.1690
D5 (mrr@10) 1 0.1690
D5 dev 1 0.1690
D5 4.2% 1 0.1690
D5 (ndcg@10) 1 0.1690
D5 dl19 1 0.1690
D5 benchmarks. 1 0.1690
D6 query 2 0.0884
D6 expand 4 0.2676
D6 (qe) 1 0.0939
D6 common 1 0.0939
D6 us 3 0.1141
D6 improv 1 0.0530
D6 perform 1 0.0442
D6 tradit 2 0.1338
D6 inform 1 0.0669
D6 retriev 1 0.0380
D6 (ir) 1 0.0939
D6 models. 2 0.1878
D6 adopt 1 0.0939
D6 deep 1 0.0530
D6 learn 2 0.0884
D6 ir 1 0.0939
D6 research, 1 0.0669
D6 neur 3 0.2817
D6 qe 3 0.2817
D6 model 9 0.3010
D6 emerg 1 0.0939
D6 rec 1 0.0669
D6 years. 1 0.0939
D6 many 1 0.0939
D6 foc 1 0.0939
D6 embed 2 0.1060
D6 lev 1 0.0669
D6 query-document 3 0.2817
D6 relevance. 1 0.0939
D6 allow 1 0.0669
D6 comput 1 0.0442
D6 sem 1 0.0530
D6 simil 1 0.0669
D6 docu 2 0.0761
D6 gen 2 0.1338
D6 terms. 1 0.0939
D6 however, 1 0.0939
D6 ex 1 0.0530
D6 oft 1 0.0939
D6 ign 1 0.0939
D6 interactions. 1 0.0939
D6 research 1 0.0669
D6 aim 1 0.0939
D6 address 1 0.0442
D6 gap 1 0.0939
D6 propos 3 0.1141
D6 condit 1 0.0939
D6 vary 1 0.0939
D6 autoencoder. 1 0.0939
D6 first 1 0.0669
D6 map 1 0.0939
D6 pair 1 0.0939
D6 lat 2 0.1878
D6 spac 1 0.0669
D6 bas 1 0.0530
D6 interaction, 1 0.0939
D6 estim 1 0.0939
D6 space. 1 0.0669
D6 train 1 0.0669
D6 relev 1 0.0442
D6 feedback 2 0.1878
D6 dat 1 0.0669
D6 pseudo-relevance 1 0.0939
D6 test 1 0.0530
D6 time. 1 0.0939
D6 evalu 1 0.0530
D6 three 1 0.0939
D6 standard 1 0.0669
D6 trec 1 0.0442
D6 collect 1 0.0669
D6 ranking: 1 0.0939
D6 ap 1 0.0669
D6 robust 1 0.0939
D6 04 1 0.0939
D6 gov02, 1 0.0939
D6 ms 1 0.0669
D6 marco 1 0.0669
D6 dataset 1 0.0530
D6 pass 1 0.0939
D6 ranking. 1 0.0669
D6 result 1 0.0380
D6 show 1 0.0669
D6 outperform 1 0.0669
D6 state-of-the-art 1 0.0669
D6 also 1 0.0442
D6 demonst 1 0.0442
D6 high 1 0.0530
D6 addit 1 0.0669
D6 match 1 0.0669
D6 baselines. 1 0.0939
