doc term frequency weight
D4 ind 1 0.0939
D4 cost 1 0.0669
D4 also 1 0.0442
D4 retain 1 0.0939
D5 dens 2 0.2408
D5 embedding-based 1 0.1204
D5 retriev 2 0.1370
D5 industry 2 0.3380
D5 standard 3 0.3612
D5 sem 1 0.0954
D5 search 2 0.2408
D5 rank 1 0.0796
D5 problem 1 0.1690
D5 lik 1 0.1204
D5 obtain 1 0.1690
D5 relev 1 0.0796
D5 web 1 0.1690
D5 docu 4 0.2739
D5 giv 2 0.3380
D5 query 4 0.3184
D5 techn 1 0.1690
D5 us 2 0.1370
D5 two-stage 1 0.1690
D5 process 1 0.1690
D5 contrast 1 0.1690
D5 learn 5 0.3979
D5 train 1 0.1204
D5 dual 2 0.3380
D5 encod 2 0.2408
D5 emb 1 0.1690
D5 b 1 0.1690
D5 approxim 1 0.1690
D5 nearest 1 0.1690
D5 neighb 1 0.1690
D5 an 5 0.8451
D5 find 1 0.1204
D5 simil 1 0.1204
D5 two 1 0.1204
D5 stag 1 0.1690
D5 disjoint 1 0.1690
D5 embed 4 0.3817
D5 might 1 0.1690
D5 ill-suited 1 0.1690
D5 method 1 0.0954
D5 vice-versa 1 0.1690
D5 lead 1 0.1690
D5 suboptim 1 0.1690
D5 perform 2 0.1370
D5 work 1 0.1204
D5 propos 1 0.0685
D5 end-to-end 1 0.1690
D5 hierarch 1 0.1690
D5 index 2 0.2408
D5 eh 5 0.8451
D5 joint 1 0.1690
D5 structure 3 0.3612
D5 optim 1 0.1690
D5 model 1 0.0602
D5 invert 1 0.1690
D5 fil 1 0.1690
D5 ivf 1 0.1690
D5 styl 1 0.1690
D5 tre 2 0.3380
D5 efficy 2 0.2408
D5 ens 1 0.1690
D5 stabl 1 0.1690
D5 discret 1 0.1690
D5 tree-based 1 0.1690
D5 introduc 1 0.1204
D5 not 1 0.1204
D5 path 1 0.1690
D5 capt 1 0.1690
D5 posit 1 0.1690
D5 query/document 1 0.1690
D5 demonst 1 0.0796
D5 effect 1 0.0685
D5 sev 1 0.1690
D5 benchmark 2 0.1908
D5 includ 1 0.1690
D5 de-facto 1 0.1690
D5 ms 2 0.2408
D5 marco 2 0.2408
D5 dev 2 0.3380
D5 set 2 0.2408
D5 trec 2 0.1592
D5 dl19 2 0.3380
D5 dataset 1 0.0685
D5 exampl 1 0.1690
D5 comput 1 0.0796
D5 budget 1 0.1690
D5 outperform 1 0.1204
D5 state-of-the-art 1 0.1204
D5 sot 1 0.1690
D5 0.6% 1 0.1690
D5 mrr@10 1 0.1690
D5 4.2% 1 0.1690
D5 ndcg@10 1 0.1690
D6 query 2 0.0724
D6 expand 4 0.2189
D6 qe 4 0.3073
D6 common 1 0.0768
D6 us 3 0.0934
D6 improv 1 0.0434
D6 perform 1 0.0311
D6 tradit 2 0.1095
D6 inform 1 0.0547
D6 retriev 1 0.0311
D6 ir 2 0.1537
D6 model 11 0.3010
D6 adopt 1 0.0768
D6 deep 1 0.0434
D6 learn 2 0.0724
D6 research 2 0.0867
D6 neur 3 0.2305
D6 emerg 1 0.0768
D6 rec 1 0.0547
D6 year 1 0.0768
D6 many 1 0.0768
D6 foc 1 0.0768
D6 embed 2 0.0867
D6 lev 1 0.0547
D6 query-document 3 0.2305
D6 relev 2 0.0724
D6 allow 1 0.0547
D6 comput 1 0.0362
D6 sem 1 0.0434
D6 simil 1 0.0547
D6 docu 2 0.0623
D6 gen 2 0.1095
D6 term 1 0.0768
D6 howev 1 0.0768
D6 ex 1 0.0434
D6 oft 1 0.0768
D6 ign 1 0.0768
D6 interact 2 0.1095
D6 aim 1 0.0768
D6 address 1 0.0362
D6 gap 1 0.0547
D6 propos 3 0.0934
D6 condit 1 0.0768
D6 vary 1 0.0768
D6 autoencod 1 0.0768
D6 first 1 0.0547
D6 map 1 0.0768
D6 pair 1 0.0768
D6 lat 2 0.1095
D6 spac 2 0.1095
D6 bas 1 0.0434
D6 estim 1 0.0768
D6 train 1 0.0547
D6 feedback 2 0.1537
D6 dat 1 0.0434
D6 pseudo-relevance 1 0.0768
D6 test 1 0.0434
D6 tim 1 0.0768
D6 evalu 1 0.0434
D6 three 1 0.0768
D6 standard 1 0.0547
D6 trec 1 0.0362
D6 collect 1 0.0547
D6 rank 2 0.0724
D6 ap 1 0.0547
D6 robust 1 0.0768
D6 04 1 0.0768
D6 gov02 1 0.0768
D6 ms 1 0.0547
D6 marco 1 0.0547
D6 dataset 1 0.0311
D6 pass 1 0.0768
D6 result 1 0.0311
D6 show 1 0.0547
D6 outperform 1 0.0547
D6 state-of-the-art 1 0.0547
D6 also 1 0.0362
D6 demonst 1 0.0362
D6 high 1 0.0434
D6 addit 1 0.0434
D6 match 1 0.0547
D6 baselin 1 0.0768
